VZA VAZ SZA SAZ WV OZ AOT XA_SWIR XB_SWIR XC_SWIR 
650 1000 0 60 0 180 600 1689 4151 9152
650 1000 0 60 0 180 700 1754 5110 10254
650 1000 0 60 0 180 800 1818 6136 11296
650 1000 0 60 0 180 900 1884 7226 12283
650 1000 0 60 0 240 0 1342 66 125
650 1000 0 60 0 240 100 1395 522 2184
650 1000 0 60 0 240 200 1450 1077 3868
650 1000 0 60 0 240 300 1508 1723 5362
650 1000 0 60 0 240 400 1567 2455 6722
650 1000 0 60 0 240 500 1628 3266 7979
650 1000 0 60 0 240 600 1689 4151 9152
650 1000 0 60 0 240 700 1754 5110 10254
650 1000 0 60 0 240 800 1818 6136 11296
650 1000 0 60 0 240 900 1884 7226 12283
650 1000 0 60 0 300 0 1342 66 125
650 1000 0 60 0 300 100 1395 522 2184
650 1000 0 60 0 300 200 1450 1077 3868
650 1000 0 60 0 300 300 1508 1723 5362
650 1000 0 60 0 300 400 1567 2455 6722
650 1000 0 60 0 300 500 1628 3266 7979
650 1000 0 60 0 300 600 1689 4151 9152
650 1000 0 60 0 300 700 1754 5110 10254
650 1000 0 60 0 300 800 1818 6136 11296
650 1000 0 60 0 300 900 1884 7226 12283
650 1000 0 60 0 360 0 1342 66 125
650 1000 0 60 0 360 100 1395 522 2184
650 1000 0 60 0 360 200 1450 1077 3868
650 1000 0 60 0 360 300 1508 1723 5362
650 1000 0 60 0 360 400 1567 2455 6722
650 1000 0 60 0 360 500 1628 3266 7979
650 1000 0 60 0 360 600 1689 4151 9152
650 1000 0 60 0 360 700 1754 5110 10254
650 1000 0 60 0 360 800 1818 6136 11296
650 1000 0 60 0 360 900 1884 7226 12283
650 1000 0 60 15 0 0 1445 71 125
650 1000 0 60 15 0 100 1502 539 2184
650 1000 0 60 15 0 200 1561 1109 3868
650 1000 0 60 15 0 300 1623 1773 5362
650 1000 0 60 15 0 400 1686 2524 6722
650 1000 0 60 15 0 500 1752 3357 7979
650 1000 0 60 15 0 600 1819 4266 9152
650 1000 0 60 15 0 700 1887 5250 10254
650 1000 0 60 15 0 800 1957 6304 11296
650 1000 0 60 15 0 900 2028 7424 12283
650 1000 0 60 15 60 0 1445 71 125
650 1000 0 60 15 60 100 1502 539 2184
650 1000 0 60 15 60 200 1561 1109 3868
650 1000 0 60 15 60 300 1623 1773 5362
650 1000 0 60 15 60 400 1686 2524 6722
650 1000 0 60 15 60 500 1752 3357 7979
650 1000 0 60 15 60 600 1819 4266 9152
